<<<<<<< HEAD
"speciesName","padj","model"
" Geum laciniatum",0.438508213,"a Climate Segment c Climate Segment"
" Hydrophyllum virginianum",0.404492903,"a Climate Segment c Climate Segment"
" Muhlenbergia mexicana",0.298628571,"a Climate Segment c Climate Segment"
" Parthenocissus inserta",0.057292527,"a Climate Segment c Climate Segment"
" Acalypha virginica",0.631723779,"d Climate Segment f Climate Segment"
" Alopecurus carolinianus",0.146853012,"d Climate Segment f Climate Segment"
" Ampelopsis cordata",0.05135311,"d Climate Segment f Climate Segment"
" Amsonia tabernaemontana",0.435959596,"d Climate Segment f Climate Segment"
" Angelica venenosa",0.511514428,"d Climate Segment f Climate Segment"
" Aristida longespica",0.598347798,"d Climate Segment f Climate Segment"
" Aristida oligantha",0.242666667,"d Climate Segment f Climate Segment"
" Aristida ramosissima",0.488072,"d Climate Segment f Climate Segment"
" Arnoglossum reniforme",0.513870199,"d Climate Segment f Climate Segment"
" Aruncus dioicus",0.142916129,"d Climate Segment f Climate Segment"
" Asplenium rhizophyllum",0.118469565,"d Climate Segment f Climate Segment"
" Betula nigra",0.100185928,"d Climate Segment f Climate Segment"
" Bidens aristosa",0.690318841,"d Climate Segment f Climate Segment"
" Callitriche terrestris",0.279533579,"d Climate Segment f Climate Segment"
" Cardamine parviflora",0.446327517,"d Climate Segment f Climate Segment"
" Carex retroflexa",0.680965161,"d Climate Segment f Climate Segment"
" Carex squarrosa",0.101747771,"d Climate Segment f Climate Segment"
" Carex virescens",0.249716201,"d Climate Segment f Climate Segment"
" Carya tomentosa",0.187810568,"d Climate Segment f Climate Segment"
" Cerastium nutans",0.129129796,"d Climate Segment f Climate Segment"
" Chamaecrista nictitans",0.094642316,"d Climate Segment f Climate Segment"
" Corallorhiza wisteriana",0.118482645,"d Climate Segment f Climate Segment"
" Cunila origanoides",0.497227288,"d Climate Segment f Climate Segment"
" Cynanchum laeve",0.095015119,"d Climate Segment f Climate Segment"
" Cynoglossum virginianum",0.120562963,"d Climate Segment f Climate Segment"
" Delphinium tricorne",0.302857143,"d Climate Segment f Climate Segment"
" Dianthus armeria",0.488072,"d Climate Segment f Climate Segment"
" Dichanthelium dichotomum",0.130137678,"d Climate Segment f Climate Segment"
" Diodia teres",0.058600468,"d Climate Segment f Climate Segment"
" Eleocharis verrucosa",0.234945455,"d Climate Segment f Climate Segment"
" Eupatorium sessilifolium",0.582196078,"d Climate Segment f Climate Segment"
" Euphorbia humistrata",0.08465553,"d Climate Segment f Climate Segment"
" Fraxinus biltmoreana",0.238158034,"d Climate Segment f Climate Segment"
" Galactia volubilis",0.680965161,"d Climate Segment f Climate Segment"
" Helenium flexuosum",0.165249012,"d Climate Segment f Climate Segment"
" Helianthus microcephalus",0.202830058,"d Climate Segment f Climate Segment"
" Hibiscus moscheutos",0.058005634,"d Climate Segment f Climate Segment"
" Hordeum pusillum",0.247500561,"d Climate Segment f Climate Segment"
" Houstonia purpurea",0.099893562,"d Climate Segment f Climate Segment"
" Iodanthus pinnatifidus",0.051528401,"d Climate Segment f Climate Segment"
" Juncus anthelatus",0.696616372,"d Climate Segment f Climate Segment"
" Juncus brachycarpus",0.520582537,"d Climate Segment f Climate Segment"
" Juncus diffusissimus",0.072320737,"d Climate Segment f Climate Segment"
" Kyllinga pumila",0.44477042,"d Climate Segment f Climate Segment"
" Lespedeza procumbens",0.572731915,"d Climate Segment f Climate Segment"
" Leucospora multifida",0.566305574,"d Climate Segment f Climate Segment"
" Liatris squarrosa",0.680965161,"d Climate Segment f Climate Segment"
" Liatris squarrulosa",0.337745455,"d Climate Segment f Climate Segment"
" Liquidambar styraciflua",0.08465553,"d Climate Segment f Climate Segment"
" Lycopus virginicus",0.158046918,"d Climate Segment f Climate Segment"
" Lysimachia arvensis",0.423050847,"d Climate Segment f Climate Segment"
" Muhlenbergia sobolifera",0.251687732,"d Climate Segment f Climate Segment"
" Myosotis macrosperma",0.680965161,"d Climate Segment f Climate Segment"
" Oenothera laciniata",0.195957895,"d Climate Segment f Climate Segment"
" Orobanche riparia",0.680965161,"d Climate Segment f Climate Segment"
" Oxalis grandis",0.086010811,"d Climate Segment f Climate Segment"
" Passiflora lutea",0.434905902,"d Climate Segment f Climate Segment"
" Phaseolus polystachios",0.428353299,"d Climate Segment f Climate Segment"
" Plantago elongata",0.334442105,"d Climate Segment f Climate Segment"
" Plantago virginica",0.499821927,"d Climate Segment f Climate Segment"
" Potamogeton diversifolius",0.221203824,"d Climate Segment f Climate Segment"
" Pycnanthemum tenuifolium",0.331844523,"d Climate Segment f Climate Segment"
" Quercus stellata",0.304102674,"d Climate Segment f Climate Segment"
" Rorippa sessiliflora",0.103692178,"d Climate Segment f Climate Segment"
" Sagina decumbens",0.334442105,"d Climate Segment f Climate Segment"
" Senna marilandica",0.514748515,"d Climate Segment f Climate Segment"
" Silphium asteriscus",0.514052231,"d Climate Segment f Climate Segment"
" Solidago bicolor",0.316100888,"d Climate Segment f Climate Segment"
" Strophostyles umbellata",0.118469565,"d Climate Segment f Climate Segment"
" Symphyotrichum patens",0.247500561,"d Climate Segment f Climate Segment"
" Tradescantia virginiana",0.41164898,"d Climate Segment f Climate Segment"
" Tridens flavus",0.8182,"d Climate Segment f Climate Segment"
" Trifolium reflexum",0.680965161,"d Climate Segment f Climate Segment"
" Verbesina helianthoides",0.108776618,"d Climate Segment f Climate Segment"
" Viburnum dentatum",0.240769811,"d Climate Segment f Climate Segment"
" Vitis aestivalis",0.162857822,"d Climate Segment f Climate Segment"
" Asplenium platyneuron",0.055114124,"c Climate Segment f Climate Segment"
" Diarrhena americana",0.274780707,"c Climate Segment f Climate Segment"
" Eutrochium fistulosum",0.258356129,"c Climate Segment f Climate Segment"
" Jeffersonia diphylla",0.085880412,"c Climate Segment f Climate Segment"
" Lactuca floridana",0.214304052,"c Climate Segment f Climate Segment"
" Morus rubra",0.166227815,"c Climate Segment f Climate Segment"
" Penstemon calycosus",0.38611878,"c Climate Segment f Climate Segment"
" Ruellia strepens",0.063310949,"c Climate Segment f Climate Segment"
" Scutellaria incana",0.4279,"c Climate Segment f Climate Segment"
" Sedum ternatum",0.173424712,"c Climate Segment f Climate Segment"
" Viola palmata",0.081683333,"c Climate Segment f Climate Segment"
" Borodinia dentata",0.08754323,"b Climate Segment f Climate Segment"
" Carex shortiana",0.059083056,"b Climate Segment f Climate Segment"
" Chaerophyllum procumbens",0.109427553,"b Climate Segment f Climate Segment"
" Cornus drummondii",0.176382665,"b Climate Segment f Climate Segment"
" Hybanthus concolor",0.132147097,"b Climate Segment f Climate Segment"
" Phacelia bipinnatifida",0.142183575,"b Climate Segment f Climate Segment"
" Rudbeckia triloba",0.144663666,"b Climate Segment f Climate Segment"
" Silene virginica",0.2223,"b Climate Segment f Climate Segment"
" Symphyotrichum shortii",0.132147097,"b Climate Segment f Climate Segment"
" Tradescantia subaspera",0.050844444,"b Climate Segment f Climate Segment"
" Valeriana pauciflora",0.06322649,"b Climate Segment f Climate Segment"
" Vernonia gigantea",0.099129756,"b Climate Segment f Climate Segment"
=======
"speciesName","padj","model"
" Agalinis paupercula",0.576566344,"a Climate Segment a Climate Segment"
" Agrostis scabra",0.576566344,"a Climate Segment a Climate Segment"
" Aletris farinosa",0.481195257,"a Climate Segment a Climate Segment"
" Alnus incana",0.790690909,"a Climate Segment a Climate Segment"
" Amorpha canescens",0.17472,"a Climate Segment a Climate Segment"
" Anemone americana",0.208376471,"a Climate Segment a Climate Segment"
" Anemone cylindrica",0.159105213,"a Climate Segment a Climate Segment"
" Apocynum androsaemifolium",0.163744681,"a Climate Segment a Climate Segment"
" Arabidopsis lyrata",0.737374648,"a Climate Segment a Climate Segment"
" Aralia nudicaulis",0.197504587,"a Climate Segment a Climate Segment"
" Arnoglossum plantagineum",0.909974384,"a Climate Segment a Climate Segment"
" Artemisia campestris",0.481195257,"a Climate Segment a Climate Segment"
" Aureolaria pedicularia",0.209032957,"a Climate Segment a Climate Segment"
" Baptisia leucophaea",0.905518421,"a Climate Segment a Climate Segment"
" Bartonia virginica",0.841966667,"a Climate Segment a Climate Segment"
" Betula alleghaniensis",0.877252174,"a Climate Segment a Climate Segment"
" Betula pumila",0.481195257,"a Climate Segment a Climate Segment"
" Brasenia schreberi",0.865124618,"a Climate Segment a Climate Segment"
" Bromus ciliatus",0.856562457,"a Climate Segment a Climate Segment"
" Bulbostylis capillaris",0.416600412,"a Climate Segment a Climate Segment"
" Calamagrostis canadensis",0.29616105,"a Climate Segment a Climate Segment"
" Calamagrostis stricta",0.481195257,"a Climate Segment a Climate Segment"
" Calopogon tuberosus",0.197504587,"a Climate Segment a Climate Segment"
" Campanula rotundifolia",0.607923664,"a Climate Segment a Climate Segment"
" Carex bicknellii",0.824114087,"a Climate Segment a Climate Segment"
" Carex canescens",0.856562457,"a Climate Segment a Climate Segment"
" Carex diandra",0.905518421,"a Climate Segment a Climate Segment"
" Carex oligosperma",0.925851208,"a Climate Segment a Climate Segment"
" Carex scoparia",0.750657793,"a Climate Segment a Climate Segment"
" Carex siccata",0.925851208,"a Climate Segment a Climate Segment"
" Carex suberecta",0.4349167,"a Climate Segment a Climate Segment"
" Carex tonsa",0.925851208,"a Climate Segment a Climate Segment"
" Carex trisperma",0.610628571,"a Climate Segment a Climate Segment"
" Carex viridula",0.576566344,"a Climate Segment a Climate Segment"
" Castilleja coccinea",0.607923664,"a Climate Segment a Climate Segment"
" Chamaedaphne calyculata",0.856562457,"a Climate Segment a Climate Segment"
" Chamaenerion angustifolium",0.801198606,"a Climate Segment a Climate Segment"
" Chenopodiastrum simplex",0.361449057,"a Climate Segment a Climate Segment"
" Chenopodium pratericola",0.877252174,"a Climate Segment a Climate Segment"
" Chimaphila umbellata",0.737374648,"a Climate Segment a Climate Segment"
" Cirsium pumilum",0.877252174,"a Climate Segment a Climate Segment"
" Cladium mariscoides",0.361449057,"a Climate Segment a Climate Segment"
" Comarum palustre",0.361449057,"a Climate Segment a Climate Segment"
" Comptonia peregrina",0.737374648,"a Climate Segment a Climate Segment"
" Coptis trifolia",0.905518421,"a Climate Segment a Climate Segment"
" Coreopsis palmata",0.347066667,"a Climate Segment a Climate Segment"
" Cornus sericea",0.622420253,"a Climate Segment a Climate Segment"
" Crocanthemum bicknellii",0.382962162,"a Climate Segment a Climate Segment"
" Crocanthemum canadense",0.56671875,"a Climate Segment a Climate Segment"
" Cyperus diandrus",0.622420253,"a Climate Segment a Climate Segment"
" Cypripedium acaule",0.622420253,"a Climate Segment a Climate Segment"
" Cypripedium candidum",0.877252174,"a Climate Segment a Climate Segment"
" Dasiphora fruticosa",0.733283721,"a Climate Segment a Climate Segment"
" Desmodium illinoense",0.38233,"a Climate Segment a Climate Segment"
" Dichanthelium perlongum",0.417609776,"a Climate Segment a Climate Segment"
" Diervilla lonicera",0.905518421,"a Climate Segment a Climate Segment"
" Digitaria cognata",0.58548,"a Climate Segment a Climate Segment"
" Doellingeria umbellata",0.54206184,"a Climate Segment a Climate Segment"
" Drosera intermedia",0.925851208,"a Climate Segment a Climate Segment"
" Drymocallis arguta",0.739166316,"a Climate Segment a Climate Segment"
" Dulichium arundinaceum",0.58548,"a Climate Segment a Climate Segment"
" Eleocharis flavescens",0.612981413,"a Climate Segment a Climate Segment"
" Elodea nuttallii",0.622420253,"a Climate Segment a Climate Segment"
" Elymus trachycaulus",0.622420253,"a Climate Segment a Climate Segment"
" Eriophorum virginicum",0.610628571,"a Climate Segment a Climate Segment"
" Eriophorum viridicarinatum",0.877252174,"a Climate Segment a Climate Segment"
" Eryngium yuccifolium",0.069265526,"a Climate Segment a Climate Segment"
" Eurybia macrophylla",0.481195257,"a Climate Segment a Climate Segment"
" Galium boreale",0.614738404,"a Climate Segment a Climate Segment"
" Galium labradoricum",0.610628571,"a Climate Segment a Climate Segment"
" Gaultheria procumbens",0.669392058,"a Climate Segment a Climate Segment"
" Gentianopsis crinita",0.904852087,"a Climate Segment a Climate Segment"
" Gentianopsis virgata",0.972,"a Climate Segment a Climate Segment"
" Geum aleppicum",0.622420253,"a Climate Segment a Climate Segment"
" Helianthus giganteus",0.612526829,"a Climate Segment a Climate Segment"
" Helianthus occidentalis",0.176093677,"a Climate Segment a Climate Segment"
" Hesperostipa spartea",0.347066667,"a Climate Segment a Climate Segment"
" Heuchera richardsonii",0.339148052,"a Climate Segment a Climate Segment"
" Hieracium umbellatum",0.261472566,"a Climate Segment a Climate Segment"
" Hydrocotyle umbellata",0.856562457,"a Climate Segment a Climate Segment"
" Hypericum boreale",0.622420253,"a Climate Segment a Climate Segment"
" Hypericum kalmianum",0.925851208,"a Climate Segment a Climate Segment"
" Hypericum majus",0.331848366,"a Climate Segment a Climate Segment"
" Ilex mucronata",0.517379528,"a Climate Segment a Climate Segment"
" Juncus canadensis",0.73761406,"a Climate Segment a Climate Segment"
" Koeleria macrantha",0.339148052,"a Climate Segment a Climate Segment"
" Krigia virginica",0.417609776,"a Climate Segment a Climate Segment"
" Larix laricina",0.38233,"a Climate Segment a Climate Segment"
" Lechea pulchella",0.607923664,"a Climate Segment a Climate Segment"
" Liatris aspera",0.261472566,"a Climate Segment a Climate Segment"
" Liatris scariosa",0.612981413,"a Climate Segment a Climate Segment"
" Lilium philadelphicum",0.856562457,"a Climate Segment a Climate Segment"
" Lithospermum caroliniense",0.4349167,"a Climate Segment a Climate Segment"
" Lobelia kalmii",0.45346506,"a Climate Segment a Climate Segment"
" Lupinus perennis",0.237734228,"a Climate Segment a Climate Segment"
" Lycopus uniflorus",0.237147982,"a Climate Segment a Climate Segment"
" Lysimachia borealis",0.905518421,"a Climate Segment a Climate Segment"
" Lysimachia terrestris",0.264890066,"a Climate Segment a Climate Segment"
" Lysimachia thyrsiflora",0.610628571,"a Climate Segment a Climate Segment"
" Maianthemum canadense",0.284648458,"a Climate Segment a Climate Segment"
" Melampyrum lineare",0.925851208,"a Climate Segment a Climate Segment"
" Menyanthes trifoliata",0.612981413,"a Climate Segment a Climate Segment"
" Monarda punctata",0.610628571,"a Climate Segment a Climate Segment"
" Muhlenbergia glomerata",0.610357414,"a Climate Segment a Climate Segment"
" Nabalus albus",0.797369634,"a Climate Segment a Climate Segment"
" Nabalus racemosus",0.454432064,"a Climate Segment a Climate Segment"
" Najas flexilis",0.38233,"a Climate Segment a Climate Segment"
" Nuttallanthus canadensis",0.417609776,"a Climate Segment a Climate Segment"
" Oenothera clelandii",0.417609776,"a Climate Segment a Climate Segment"
" Oenothera fruticosa",0.349253731,"a Climate Segment a Climate Segment"
" Packera paupercula",0.925851208,"a Climate Segment a Climate Segment"
" Packera plattensis",0.610357414,"a Climate Segment a Climate Segment"
" Panicum tuckermanii",0.905518421,"a Climate Segment a Climate Segment"
" Parthenium integrifolium",0.731354839,"a Climate Segment a Climate Segment"
" Phragmites australis",0.612981413,"a Climate Segment a Climate Segment"
" Platanthera ciliaris",0.877252174,"a Climate Segment a Climate Segment"
" Poa palustris",0.877252174,"a Climate Segment a Climate Segment"
" Poa saltuensis",0.622420253,"a Climate Segment a Climate Segment"
" Pogonia ophioglossoides",0.622420253,"a Climate Segment a Climate Segment"
" Polygala cruciata",0.737374648,"a Climate Segment a Climate Segment"
" Polygala polygama",0.576566344,"a Climate Segment a Climate Segment"
" Pontederia cordata",0.352759149,"a Climate Segment a Climate Segment"
" Populus tremuloides",0.1248,"a Climate Segment a Climate Segment"
" Potamogeton illinoensis",0.398559006,"a Climate Segment a Climate Segment"
" Potamogeton natans",0.856562457,"a Climate Segment a Climate Segment"
" Potamogeton zosteriformis",0.622420253,"a Climate Segment a Climate Segment"
" Proserpinaca palustris",0.063776471,"a Climate Segment a Climate Segment"
" Prunus pensylvanica",0.925851208,"a Climate Segment a Climate Segment"
" Prunus pumila",0.339148052,"a Climate Segment a Climate Segment"
" Pyrola elliptica",0.905518421,"a Climate Segment a Climate Segment"
" Quercus coccinea",0.091631068,"a Climate Segment a Climate Segment"
" Quercus ellipsoidalis",0.417609776,"a Climate Segment a Climate Segment"
" Ranunculus fascicularis",0.676317415,"a Climate Segment a Climate Segment"
" Ranunculus pensylvanicus",0.540310588,"a Climate Segment a Climate Segment"
" Rhamnus alnifolia",0.737374648,"a Climate Segment a Climate Segment"
" Rhus typhina",0.17472,"a Climate Segment a Climate Segment"
" Rhynchospora alba",0.972,"a Climate Segment a Climate Segment"
" Rhynchospora capillacea",0.4782336,"a Climate Segment a Climate Segment"
" Rhynchospora capitellata",0.676317415,"a Climate Segment a Climate Segment"
" Rhynchospora scirpoides",0.925851208,"a Climate Segment a Climate Segment"
" Ribes hirtellum",0.737374648,"a Climate Segment a Climate Segment"
" Rubus hispidus",0.567925146,"a Climate Segment a Climate Segment"
" Rubus pubescens",0.612981413,"a Climate Segment a Climate Segment"
" Sagittaria cuneata",0.622420253,"a Climate Segment a Climate Segment"
" Sagittaria rigida",0.622420253,"a Climate Segment a Climate Segment"
" Salix amygdaloides",0.237147982,"a Climate Segment a Climate Segment"
" Salix bebbiana",0.394984232,"a Climate Segment a Climate Segment"
" Salix candida",0.676317415,"a Climate Segment a Climate Segment"
" Salix lucida",0.102589831,"a Climate Segment a Climate Segment"
" Salix pedicellaris",0.865124618,"a Climate Segment a Climate Segment"
" Sambucus racemosa",0.737374648,"a Climate Segment a Climate Segment"
" Sarracenia purpurea",0.610628571,"a Climate Segment a Climate Segment"
" Schoenoplectiella smithii",0.905518421,"a Climate Segment a Climate Segment"
" Schoenoplectus acutus",0.517379528,"a Climate Segment a Climate Segment"
" Scleria verticillata",0.931284887,"a Climate Segment a Climate Segment"
" Scrophularia lanceolata",0.361449057,"a Climate Segment a Climate Segment"
" Scutellaria galericulata",0.197504587,"a Climate Segment a Climate Segment"
" Silphium laciniatum",0.425765854,"a Climate Segment a Climate Segment"
" Solidago rigidiuscula",0.856562457,"a Climate Segment a Climate Segment"
" Solidago rugosa",0.4349167,"a Climate Segment a Climate Segment"
" Solidago speciosa",0.616142222,"a Climate Segment a Climate Segment"
" Sparganium emersum",0.247793318,"a Climate Segment a Climate Segment"
" Spiraea tomentosa",0.343267387,"a Climate Segment a Climate Segment"
" Sporobolus cryptandrus",0.877252174,"a Climate Segment a Climate Segment"
" Sporobolus heterolepis",0.877252174,"a Climate Segment a Climate Segment"
" Stachys hyssopifolia",0.737374648,"a Climate Segment a Climate Segment"
" Stuckenia pectinata",0.584367568,"a Climate Segment a Climate Segment"
" Symphyotrichum boreale",0.925851208,"a Climate Segment a Climate Segment"
" Symphyotrichum dumosum",0.197504587,"a Climate Segment a Climate Segment"
" Symphyotrichum ericoides",0.856562457,"a Climate Segment a Climate Segment"
" Symphyotrichum oolentangiense",0.535487623,"a Climate Segment a Climate Segment"
" Torreyochloa pallida",0.925851208,"a Climate Segment a Climate Segment"
" Triadenum fraseri",0.361449057,"a Climate Segment a Climate Segment"
" Triantha glutinosa",0.905518421,"a Climate Segment a Climate Segment"
" Triglochin maritima",0.856562457,"a Climate Segment a Climate Segment"
" Utricularia intermedia",0.925851208,"a Climate Segment a Climate Segment"
" Utricularia macrorhiza",0.361449057,"a Climate Segment a Climate Segment"
" Vaccinium angustifolium",0.481195257,"a Climate Segment a Climate Segment"
" Vaccinium corymbosum",0.331848366,"a Climate Segment a Climate Segment"
" Vaccinium macrocarpon",0.865124618,"a Climate Segment a Climate Segment"
" Vallisneria americana",0.622420253,"a Climate Segment a Climate Segment"
" Vernonia missurica",0.4349167,"a Climate Segment a Climate Segment"
" Veronica scutellata",0.417609776,"a Climate Segment a Climate Segment"
" Vicia americana",0.737374648,"a Climate Segment a Climate Segment"
" Viola canadensis",0.128690647,"a Climate Segment a Climate Segment"
" Viola sagittata",0.289557895,"a Climate Segment a Climate Segment"
" Woodwardia virginica",0.261472566,"a Climate Segment a Climate Segment"
" Zizania aquatica",0.607923664,"a Climate Segment a Climate Segment"
" Zizania palustris",0.856562457,"a Climate Segment a Climate Segment"
" Heracleum maximum",0.3847,"b Climate Segment b Climate Segment"
" Aesculus flava",0.7253,"e Climate Segment e Climate Segment"
" Coleataenia stipitata",0.644933547,"e Climate Segment e Climate Segment"
" Acalypha deamii",0.494597599,"f Climate Segment f Climate Segment"
" Ammannia robusta",0.274141799,"f Climate Segment f Climate Segment"
" Asclepias variegata",0.296783158,"f Climate Segment f Climate Segment"
" Calycocarpum lyonii",1,"f Climate Segment f Climate Segment"
" Carex bushii",1,"f Climate Segment f Climate Segment"
" Carya illinoinensis",0.494597599,"f Climate Segment f Climate Segment"
" Catalpa speciosa",0.926384262,"f Climate Segment f Climate Segment"
" Clematis pitcheri",0.714133333,"f Climate Segment f Climate Segment"
" Cocculus carolinus",0.754865239,"f Climate Segment f Climate Segment"
" Crataegus viridis",0.714133333,"f Climate Segment f Climate Segment"
" Dicliptera brachiata",1,"f Climate Segment f Climate Segment"
" Fleischmannia incarnata",1,"f Climate Segment f Climate Segment"
" Forestiera acuminata",0.65705399,"f Climate Segment f Climate Segment"
" Gentiana alba",1,"f Climate Segment f Climate Segment"
" Gonolobus suberosus",0.754865239,"f Climate Segment f Climate Segment"
" Hymenocallis occidentalis",1,"f Climate Segment f Climate Segment"
" Hypericum virgatum",0.645792164,"f Climate Segment f Climate Segment"
" Ilex decidua",0.494597599,"f Climate Segment f Climate Segment"
" Iris brevicaulis",0.642026667,"f Climate Segment f Climate Segment"
" Panicum philadelphicum",0.304787391,"f Climate Segment f Climate Segment"
" Paspalum repens",0.65705399,"f Climate Segment f Climate Segment"
" Passiflora incarnata",1,"f Climate Segment f Climate Segment"
" Phoradendron leucarpum",1,"f Climate Segment f Climate Segment"
" Pyrrhopappus carolinianus",1,"f Climate Segment f Climate Segment"
" Quercus lyrata",0.263491166,"f Climate Segment f Climate Segment"
" Quercus pagoda",0.754865239,"f Climate Segment f Climate Segment"
" Ranunculus pusillus",1,"f Climate Segment f Climate Segment"
" Rhynchospora corniculata",1,"f Climate Segment f Climate Segment"
" Rubus aboriginum",0.851980296,"f Climate Segment f Climate Segment"
" Rumex triangulivalvis",0.461006897,"f Climate Segment f Climate Segment"
" Saccharum alopecuroides",1,"f Climate Segment f Climate Segment"
" Sorghum bicolor",0.523775342,"f Climate Segment f Climate Segment"
" Spermacoce glabra",0.296783158,"f Climate Segment f Climate Segment"
" Thalictrum pubescens",0.754865239,"f Climate Segment f Climate Segment"
" Thyrsanthella difformis",1,"f Climate Segment f Climate Segment"
" Tripsacum dactyloides",1,"f Climate Segment f Climate Segment"
" Vaccinium arboreum",0.645792164,"f Climate Segment f Climate Segment"
" Agrimonia gryposepala",0.126197963,"a Climate Segment b Climate Segment"
" Andromeda polifolia",0.701295484,"a Climate Segment b Climate Segment"
" Anemone quinquefolia",0.55986383,"a Climate Segment b Climate Segment"
" Bidens connata",0.635566829,"a Climate Segment b Climate Segment"
" Campanula aparinoides",0.253542238,"a Climate Segment b Climate Segment"
" Carex comosa",0.35072,"a Climate Segment b Climate Segment"
" Carex pensylvanica",0.580054902,"a Climate Segment b Climate Segment"
" Carex stricta",0.237346909,"a Climate Segment b Climate Segment"
" Cicuta bulbifera",0.486117804,"a Climate Segment b Climate Segment"
" Cirsium muticum",0.533648926,"a Climate Segment b Climate Segment"
" Cornus racemosa",0.105539112,"a Climate Segment b Climate Segment"
" Decodon verticillatus",0.532259603,"a Climate Segment b Climate Segment"
" Dichanthelium latifolium",0.104675325,"a Climate Segment b Climate Segment"
" Drosera rotundifolia",0.546742857,"a Climate Segment b Climate Segment"
" Dryopteris carthusiana",0.550552131,"a Climate Segment b Climate Segment"
" Dryopteris cristata",0.228,"a Climate Segment b Climate Segment"
" Echinocystis lobata",0.317486897,"a Climate Segment b Climate Segment"
" Eleocharis erythropoda",0.165447012,"a Climate Segment b Climate Segment"
" Elymus canadensis",0.05511762,"a Climate Segment b Climate Segment"
" Elymus repens",0.595293964,"a Climate Segment b Climate Segment"
" Epilobium leptophyllum",0.669638835,"a Climate Segment b Climate Segment"
" Equisetum fluviatile",0.228,"a Climate Segment b Climate Segment"
" Eutrochium maculatum",0.423239389,"a Climate Segment b Climate Segment"
" Heteranthera dubia",0.534621782,"a Climate Segment b Climate Segment"
" Hordeum jubatum",0.530348259,"a Climate Segment b Climate Segment"
" Lemna trisulca",0.837985852,"a Climate Segment b Climate Segment"
" Luzula multiflora",0.08384141,"a Climate Segment b Climate Segment"
" Micranthes pensylvanica",0.232374406,"a Climate Segment b Climate Segment"
" Parnassia glauca",0.874902087,"a Climate Segment b Climate Segment"
" Pedicularis lanceolata",0.176760902,"a Climate Segment b Climate Segment"
" Polygala verticillata",0.330258176,"a Climate Segment b Climate Segment"
" Prunus virginiana",0.400869506,"a Climate Segment b Climate Segment"
" Ribes americanum",0.781356522,"a Climate Segment b Climate Segment"
" Rubus idaeus",0.546742857,"a Climate Segment b Climate Segment"
" Rumex britannica",0.35072,"a Climate Segment b Climate Segment"
" Salix petiolaris",0.443780339,"a Climate Segment b Climate Segment"
" Sanicula marilandica",0.253542238,"a Climate Segment b Climate Segment"
" Solidago ohioensis",0.682871729,"a Climate Segment b Climate Segment"
" Solidago patula",0.9546,"a Climate Segment b Climate Segment"
" Solidago riddellii",0.193197782,"a Climate Segment b Climate Segment"
" Solidago uliginosa",0.664453809,"a Climate Segment b Climate Segment"
" Sonchus arvensis",0.485888,"a Climate Segment b Climate Segment"
" Sparganium eurycarpum",0.466281135,"a Climate Segment b Climate Segment"
" Symphyotrichum firmum",0.382599317,"a Climate Segment b Climate Segment"
" Utricularia gibba",0.495053821,"a Climate Segment b Climate Segment"
" Viburnum lentago",0.621865798,"a Climate Segment b Climate Segment"
" Viburnum rafinesquianum",0.646083117,"a Climate Segment b Climate Segment"
" Viola labradorica",0.546742857,"a Climate Segment b Climate Segment"
" Symphyotrichum prenanthoides",0.3579,"d Climate Segment e Climate Segment"
" Acalypha ostryifolia",0.2944032,"e Climate Segment f Climate Segment"
" Actaea racemosa",0.731600672,"e Climate Segment f Climate Segment"
" Agrostis elliottiana",0.072205714,"e Climate Segment f Climate Segment"
" Amorpha fruticosa",0.488464516,"e Climate Segment f Climate Segment"
" Andropogon gyrans",0.626465979,"e Climate Segment f Climate Segment"
" Aristida dichotoma",0.135529412,"e Climate Segment f Climate Segment"
" Arundinaria gigantea",0.201325714,"e Climate Segment f Climate Segment"
" Asclepias perennis",0.398574046,"e Climate Segment f Climate Segment"
" Baptisia australis",0.873701299,"e Climate Segment f Climate Segment"
" Bignonia capreolata",0.482395691,"e Climate Segment f Climate Segment"
" Calystegia catesbeiana",0.850530293,"e Climate Segment f Climate Segment"
" Carex albolutescens",0.248437267,"e Climate Segment f Climate Segment"
" Carex annectens",0.529182979,"e Climate Segment f Climate Segment"
" Carex caroliniana",0.684273935,"e Climate Segment f Climate Segment"
" Carex crus-corvi",0.411981818,"e Climate Segment f Climate Segment"
" Carex festucacea",0.581282496,"e Climate Segment f Climate Segment"
" Carex glaucodea",0.068865542,"e Climate Segment f Climate Segment"
" Carex louisianica",0.850187276,"e Climate Segment f Climate Segment"
" Carex typhina",0.721078378,"e Climate Segment f Climate Segment"
" Carex willdenowii",0.0624,"e Climate Segment f Climate Segment"
" Castanea dentata",0.27476129,"e Climate Segment f Climate Segment"
" Celtis laevigata",0.444713043,"e Climate Segment f Climate Segment"
" Celtis tenuifolia",0.719130964,"e Climate Segment f Climate Segment"
" Chasmanthium latifolium",0.224902737,"e Climate Segment f Climate Segment"
" Cirsium carolinianum",0.928387801,"e Climate Segment f Climate Segment"
" Clitoria mariana",0.741889933,"e Climate Segment f Climate Segment"
" Coleataenia anceps",0.174361062,"e Climate Segment f Climate Segment"
" Commelina diffusa",0.204267834,"e Climate Segment f Climate Segment"
" Commelina virginica",0.068127536,"e Climate Segment f Climate Segment"
" Cornus foemina",0.493395349,"e Climate Segment f Climate Segment"
